사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201607,2호선,강변,64,2,11321,4934,34709,41767,108706,47531,157704,74308,117801,67199,97524,61782,91840,60237,89438,70178,86258,81425,78166,86875,79648,95015,82732,104393,93570,116031,100094,157636,83828,140727,72874,96749,69360,90435,52648,86020,21841,47155,3160,11133,4,137,0,0,0,0,20160808
201607,2호선,잠실나루,16,0,3859,2066,18653,11053,56978,25521,63346,48000,38691,29961,29607,24552,29729,21849,30756,24705,27944,27007,27522,25133,29266,24914,32452,26032,36659,30282,42127,46471,24194,45351,18935,28904,16595,28735,10886,29693,4881,18831,804,5875,1,87,0,0,0,0,20160808
201607,2호선,잠실,207,28,15952,7268,54114,79715,145978,93851,204520,163745,142874,159467,95197,118874,99050,131243,105741,127243,120374,136265,122440,132217,142026,134058,163758,141614,224653,158147,250495,226876,187980,191029,181544,116629,159136,109869,132129,113525,49719,67869,5796,16922,24,305,0,0,0,0,20160808
201607,2호선,신천,36,5,7777,1238,24058,10554,73079,20874,91917,36127,57168,37817,39443,29562,39538,30823,41338,34568,41905,39902,37434,42490,39450,45410,44795,53267,49316,65119,55571,96556,41963,91912,36012,56468,38869,48357,40137,48413,25231,27703,4075,8788,5,256,0,0,0,0,20160808
201607,2호선,종합운동장,21,0,3069,1416,10397,13233,26348,25409,36376,46796,26867,32022,19411,20393,21996,19131,22153,19973,23505,22337,20239,23019,25378,29399,29934,46236,33266,95779,32120,94082,21987,50390,27001,23590,85874,21496,82506,22895,17934,13904,784,3884,3,148,0,0,0,0,20160808
201607,2호선,삼성,158,2,5438,5723,10478,41139,23729,131091,31315,334197,30144,262879,32040,130969,46236,119921,61973,113732,81649,121632,96519,109828,123959,94942,144945,85247,183798,82310,314670,90994,209834,64410,156399,31695,139428,24331,104412,23239,31726,12695,4457,6840,5,2045,0,4,0,7,20160808
201607,2호선,선릉,113,1,7430,7055,15290,41895,28591,123254,40824,306182,41810,220059,45699,92775,58946,65416,64972,62456,79236,70106,82022,63288,103174,55527,128245,54796,158912,59889,305163,67288,178819,52028,107461,32074,111388,27849,95594,26089,37888,16159,5990,7133,6,157,0,0,0,0,20160808
201607,2호선,역삼,75,3,4951,8627,11092,35808,18517,130264,28145,358600,29427,258513,30293,102333,41038,73999,46160,58372,58544,69378,63325,60290,77349,56331,89097,51485,129382,54200,286075,64078,161582,50147,92645,29508,97428,23544,71286,20487,33228,14097,5113,4487,5,63,0,0,0,0,20160808
201607,2호선,강남,275,10,17717,13184,27655,76142,52601,193205,82091,378459,73438,398722,76529,204959,106321,181103,137233,183677,186801,223238,177592,188021,207905,175262,240182,173341,279410,200470,398885,282836,294093,225787,238060,108089,300707,80278,320329,68390,141909,43278,24087,12281,23,153,3,1,0,0,20160808
201607,2호선,교대,27,1,3788,7490,15647,31452,31650,79709,45445,176125,37093,159526,37523,79820,45841,70985,48288,64920,61312,72009,64857,67346,71362,60908,72470,60314,97763,67830,170047,88771,92131,67018,67270,38266,78885,34187,90678,34001,29648,19412,5294,5184,8,27,0,0,0,0,20160808
201607,2호선,서초,3,0,1653,5875,7657,23601,16309,59310,25919,133585,28817,93412,22456,44371,33240,40525,28519,31328,38110,34476,36765,35145,44559,27234,49116,28920,63608,28911,115249,34492,55719,27080,36288,14798,41612,13890,38370,14002,11769,8310,1620,2013,0,6,1,0,0,0,20160808
201607,2호선,방배,40,0,4101,3405,12631,12441,32231,31884,45172,82750,34635,50431,24508,30242,25050,24016,27548,24610,29985,29741,28767,27687,31220,26617,35003,28444,43324,34413,76877,43911,42267,39640,29279,26536,29956,25000,24415,28167,11608,16512,1937,5138,1,55,0,0,0,0,20160808
201607,2호선,사당,73,4,14182,4037,27151,32955,80362,59906,108170,85846,76181,63661,51737,50184,49847,57746,54631,58873,63437,61427,64447,59574,64910,66078,67140,81347,77700,111770,104346,177290,83506,154277,75292,92207,86248,85841,90285,90957,52996,57860,9372,17883,13,1032,0,0,0,0,20160808
201607,2호선,낙성대,66,7,13683,2404,32501,14392,102904,24846,142446,56103,84756,41377,47833,32852,42391,28611,46126,30945,47016,34266,40603,35328,41805,39515,44877,44357,53458,56672,66816,91569,42464,100127,31363,68919,31708,68845,23929,74032,12801,49888,2135,15420,8,207,0,0,0,0,20160808
201607,2호선,서울대입구,5076,10,33413,2985,53581,19582,150752,36025,196261,80775,123296,80677,75398,62788,72935,60538,79056,61787,86474,70905,76476,71753,78184,76786,86929,86022,97633,103502,116126,159626,76328,168551,62273,110011,59751,108977,54850,115430,28827,78149,4548,28154,6,4676,0,0,0,0,20160808
201607,2호선,봉천,73,2,18454,1733,32982,7876,87701,15525,113049,29758,66360,26202,38929,23692,34033,23735,35820,25367,36638,28291,31875,28280,31317,36033,32348,40355,34687,49756,38481,73769,26225,71419,22111,48194,18324,48072,15055,48566,5733,29899,940,8545,2,305,0,0,0,0,20160808
201607,2호선,신림,265,9,50199,5999,92877,26234,261443,45035,348628,76612,197103,65796,110836,59886,97667,66661,102871,72108,104759,81897,91509,86402,90546,102574,97959,118175,108663,153343,120542,248317,90280,271886,75803,180477,73030,176491,68215,181240,38264,123741,6139,37850,13,809,0,2,0,0,20160808
201607,2호선,신대방,170,2,27888,2591,40690,12202,105282,21612,139967,40376,86971,28469,49843,24418,41775,24131,41890,25325,41267,30073,36355,31802,33695,39207,36684,47333,40344,58977,50109,85934,34813,89539,25916,63864,20699,67263,14904,77883,7242,44456,1154,12628,2,153,0,0,0,0,20160808
201607,2호선,구로디지털단지,283,11,44059,7322,63394,23785,165122,85372,202506,287615,128916,166664,81189,69361,72442,58129,76539,58074,81096,71971,70597,76604,73719,79361,83732,85959,111651,111257,238755,165670,155836,160607,97154,110341,89446,113584,70094,122807,34633,75035,5445,20351,10,260,0,0,0,0,20160808
201607,2호선,대림,528,17,39070,4861,40053,15888,91888,29275,122671,75247,83839,49418,49632,40834,43877,42633,47687,42273,46591,43593,41034,42338,42310,50328,46550,54613,52902,74186,74857,95022,48318,86968,36908,61245,30783,70498,23152,81555,12126,41783,1744,11105,3,271,0,1,0,0,20160808
201607,2호선,신도림,2682,28,45714,7045,65203,23695,165550,53079,166183,137914,106694,88855,76947,79239,76104,77957,86211,89546,92143,94993,91208,91774,95841,94186,103086,105686,123843,127442,165734,195068,115191,193060,96506,112075,104580,103326,83999,106923,37477,80738,4888,35845,12,3415,0,0,0,0,20160808
201607,2호선,문래,7,0,4512,2112,15728,9892,46398,34545,47338,114145,28296,49975,21250,22992,22476,21989,25495,23703,26242,25354,24695,23264,27123,23122,28522,24858,39423,27479,88022,42284,43704,42777,28238,25681,25428,23877,19597,22484,9667,15398,1426,5121,9,174,0,0,0,0,20160808
201607,경인선,주안,1295,40,19270,5583,40449,14824,100011,39389,84883,56010,50594,38869,40589,28277,42305,28839,45632,32782,44257,36160,39419,36611,40973,36478,47156,45959,58290,56484,60486,79228,40060,88462,34923,66191,32285,54560,25768,53698,13643,39276,709,12243,0,0,0,0,0,0,20160808
201607,경인선,제물포,737,3,6225,1948,11563,6066,30438,15128,25996,30123,16604,12711,13009,9079,13172,8885,15564,9254,15665,11092,12761,10694,15008,10437,18588,14057,22041,15926,22091,20106,12701,21291,8653,17030,7451,14150,4772,14731,2269,11143,89,4049,0,0,0,0,0,0,20160808
201607,경인선,동인천,2136,7,10205,2074,23135,13069,58309,32127,42886,42036,29569,23593,26602,24318,27964,27130,31032,26934,31106,28118,29469,27527,31770,24872,35894,29864,44823,33084,56926,41425,33086,45080,24961,33117,19373,27646,12488,29361,4913,20779,30,7641,0,0,0,0,0,0,20160808
201607,경인선,인천,310,1,1204,818,3010,3398,6485,7598,5864,9465,4031,6658,4155,8504,5452,12673,7773,13076,9810,11662,12123,10638,13626,8833,14563,7501,16787,6779,16173,6778,10242,4900,8424,3749,7248,3020,5322,2376,1745,1871,12,1675,1,5,0,0,0,0,20160808
201607,경인선,구일,231,17,3679,1491,10662,3512,29804,7372,24854,13061,12103,6789,8743,5081,8540,5663,8824,7445,8171,9275,7030,10307,8042,13544,8639,18857,9490,33173,12745,34267,8093,25556,13858,14498,31185,12765,19644,12645,5938,8489,88,1151,1,1,0,0,0,0,20160808
201607,경인선,소사,688,12,18950,3879,20643,11399,48396,15846,45884,19743,30114,13035,23840,13276,21263,13420,21481,14955,19822,18022,17313,17095,17761,17954,19554,21208,23501,26109,21616,36515,14658,39058,11111,28112,9824,25912,6928,26547,3166,18256,225,4485,0,0,0,0,0,0,20160808
201607,경인선,부개,1969,6,10235,2599,20751,4343,52221,7286,44159,16404,25734,9806,17716,8050,16086,9063,16856,11041,16169,11950,13178,12649,12550,13857,14367,18053,14520,21702,16170,33790,10950,35826,8387,25017,6998,23124,5441,22739,2802,14550,270,4326,0,0,0,0,0,0,20160808
201607,경인선,간석,399,1,6042,1490,13364,2955,31343,5226,25322,10474,14132,7374,11316,6368,10955,6404,11618,7810,11559,8456,9240,8866,8743,9608,9744,12516,10747,15425,11689,20464,8015,21963,6338,16243,5500,14160,4263,13279,2400,9851,153,4075,0,0,0,0,0,0,20160808
201607,경인선,도원,686,9,2829,1356,4245,2799,9252,8468,7114,33895,6033,9533,5739,5389,7001,4920,8758,4945,9129,4857,5798,4618,7200,5223,10466,6548,21679,8650,9569,7441,5097,6504,7025,5324,3152,4765,1689,4324,703,3120,35,1874,0,0,0,0,0,0,20160808
201607,경인선,온수,294,5,5469,1572,9213,4974,24744,11065,23553,15187,15458,8839,11910,6718,11544,6566,13709,7433,12109,8173,10663,8912,10880,9888,13283,11012,14434,13421,13912,20007,8331,22374,6066,14457,6046,13996,4568,13141,2573,8975,234,1907,0,0,0,0,0,0,20160808
201607,경인선,중동,1013,5,11574,1702,21021,4417,48079,7499,40618,18178,22240,11314,17114,9405,15737,9350,16173,11426,15723,11500,12508,12177,12819,12849,13841,16385,15326,20043,16114,30179,10930,34645,8333,22761,7609,21339,5604,20229,2049,14745,177,3749,0,0,0,0,0,0,20160808
201607,경인선,도화,390,13,3917,1286,6374,2581,14493,4806,13416,9873,7716,3504,6567,3770,5963,4052,6744,4499,5752,5037,4740,4595,5750,5586,7334,6446,7663,7043,7938,8003,4516,8528,3062,6606,2347,6010,1396,6006,712,4526,21,1765,0,0,0,0,0,0,20160808
201607,경춘선,신내,60,0,524,335,1112,922,2121,3361,2210,2265,1351,1535,1223,985,1135,810,1212,1310,1151,931,1104,1109,1000,1089,1454,1146,1510,1752,1673,2135,1248,1604,923,1159,692,985,615,768,313,408,4,103,0,0,0,0,0,0,20160808
201607,경춘선,갈매,1,0,390,1177,839,3570,3169,2986,1835,2171,1161,776,849,593,858,635,929,836,954,736,934,621,1118,807,3084,727,3874,1086,2405,1280,1007,1623,549,1132,300,855,143,612,80,495,1,142,0,0,0,0,0,0,20160808
201607,경춘선,별내,19,0,1144,511,2426,1565,9048,2876,7532,6037,4432,4033,3668,2513,3388,3032,3656,3364,3520,3281,3144,3271,3481,3774,4178,4073,4958,5420,5066,7140,3250,6434,2574,5036,2782,3253,2434,3409,1347,2191,162,242,0,0,0,0,0,0,20160808
201607,경춘선,퇴계원,9,1,2797,697,4942,1571,19897,2840,13075,5421,8451,2848,6296,2432,5340,2781,5480,3391,4818,3880,3757,3678,3956,4912,4080,5608,5014,6809,6149,11327,3616,11162,2594,8162,2097,5846,1628,6477,861,4117,52,636,0,0,0,0,0,0,20160808
201607,경춘선,사릉,25,0,2226,956,6115,2528,20494,5074,16178,6087,8505,2646,5578,3082,5273,2652,5189,3002,4548,4083,3635,3304,3743,3701,3693,6230,5581,6149,7054,9724,3756,14849,2416,9135,1989,5958,1325,7309,594,4383,34,675,0,0,0,0,0,0,20160808
201607,경춘선,금곡,17,1,1411,432,2287,1081,5563,2093,5435,4159,3481,2275,2725,1736,2421,1734,2440,1940,2298,1864,1844,1931,2468,1826,2000,2989,2554,2658,3093,4033,1837,4060,1214,2385,911,2279,603,1653,300,2156,10,406,0,0,0,0,0,0,20160808
201607,경춘선,평내호평,389,1,5654,829,9054,2386,23382,4732,20866,8985,12603,7443,10284,5745,8864,6159,9574,7518,8326,6917,7496,7895,7495,7623,8028,9353,8828,14500,9133,16365,6431,18396,5163,13426,4954,10746,4081,8516,2317,9672,52,2541,0,0,0,0,0,0,20160808
201607,경춘선,천마산,12,0,927,267,2354,631,6435,1301,5135,1224,3267,870,2661,1325,2176,1108,2005,1552,1814,1331,1669,1788,1246,1952,1474,2023,1443,2806,1607,3796,1124,3572,777,3287,505,2041,333,2560,142,1959,9,324,0,0,0,0,0,0,20160808
201607,경춘선,마석,27,0,1405,681,5766,3577,14271,6790,10679,9521,8492,5261,6755,4891,6410,5155,6415,5014,6011,5760,5305,5005,5388,7099,7387,5861,7151,7865,8453,8746,4237,11116,3532,8514,2611,5390,1933,5791,736,3889,55,1414,0,0,0,0,0,0,20160808
201607,경춘선,대성리,1,0,287,59,1286,473,1442,904,1524,1727,1799,1448,2633,1856,7334,2026,4880,3099,2144,5237,1590,4453,1832,3922,1872,2104,2015,1803,1959,1676,1293,1226,1059,1085,704,698,450,726,166,431,8,9,0,0,0,0,0,0,20160808
201607,경춘선,청평,7,0,866,264,2273,1053,4516,2592,5550,5760,4682,4858,5794,5649,13188,6650,11310,9016,6057,8576,5353,9678,5120,5848,6064,6456,6575,5585,6460,4919,3919,4273,2496,2773,2080,3079,1117,2434,461,1790,29,60,0,0,0,0,0,0,20160808
201607,경춘선,상천,0,0,117,91,471,229,665,521,1115,748,725,1248,848,1413,1366,1120,959,780,933,651,1233,970,1353,828,1567,881,1353,857,1267,808,746,766,399,562,187,541,107,444,79,290,1,47,0,0,0,0,0,0,20160808
201607,경춘선,가평,7,0,738,153,1627,1021,3106,3361,3963,7478,3312,7671,4809,7900,18036,11248,12077,16212,7112,10677,5776,10540,7395,7664,8411,4455,9449,4469,9212,4264,5189,4104,3502,2616,2526,2096,1112,1858,457,1507,4,617,0,0,0,0,0,0,20160808
201607,경춘선,굴봉산,0,0,96,4,113,68,254,221,271,343,368,687,579,1010,2090,1300,1258,1167,848,938,784,1180,877,821,943,464,980,375,622,255,303,330,159,226,87,146,87,127,19,76,0,37,0,0,0,0,0,0,20160808
201607,경춘선,백양리,0,0,25,49,59,65,87,306,148,280,182,225,316,372,917,475,1129,314,350,567,376,439,464,388,395,236,407,289,390,187,312,213,212,162,111,129,52,100,27,101,4,7,0,0,0,0,0,0,20160808
201607,경춘선,강촌,4,0,152,65,265,163,414,533,572,1540,832,1186,1140,2290,3044,2483,2773,1775,1801,2187,2071,1846,2491,1644,2554,1349,2363,1015,2022,1028,1120,768,864,590,536,572,253,423,105,255,25,67,0,0,0,0,0,0,20160808
201607,경춘선,김유정,0,0,120,68,208,136,613,761,516,962,499,1654,560,3045,840,2468,1060,2180,1897,1551,2142,1544,1911,1289,1743,932,1533,766,1266,612,738,406,411,337,206,245,76,234,22,162,1,33,0,0,0,0,0,0,20160808
201607,경춘선,남춘천,446,2,1876,17,3119,814,4443,2106,5292,4802,5709,3693,5322,4647,5838,8337,5627,11637,7057,6299,7476,6305,6577,5478,6513,4719,5526,8246,5630,4313,4142,8428,3719,5120,3157,3398,2103,4457,498,3567,10,1664,0,0,0,0,0,0,20160808
201604,2호선,역삼,50,0,4513,8004,11477,34655,19081,122887,28529,350324,28826,252378,30239,101648,39971,76331,46084,61435,60105,70975,65204,62535,79308,57484,88227,52496,126628,54953,267767,63882,159785,49531,93250,29263,97807,22655,75111,19134,30957,12795,5033,4124,5,88,0,0,0,0,20160508
201604,2호선,강남,302,10,15872,13419,27118,64181,52644,185176,80889,352070,69523,331787,69498,175959,88862,142229,113410,140544,150115,171998,146963,152506,170573,139654,189052,142927,229818,172319,344547,248251,261789,214107,208615,105829,260552,80390,279709,67167,123907,42238,21420,13229,17,246,0,0,0,0,20160508
201604,2호선,교대,25,0,3687,6880,15586,37456,32863,86393,45438,178980,39139,160572,38931,81881,46542,70031,48292,63979,62342,72477,65978,67342,72914,61916,74108,61214,97889,67366,163131,87708,93629,66896,70250,38635,77738,33660,89407,33281,29031,19718,5071,5485,6,49,0,0,0,0,20160508
