,사용월,호선명,지하철역,작업일자,time,승하차구분 ,population
97,201601,경의선,공덕,20160208,04시-05시,승차,0
98,201601,경의선,공덕,20160208,04시-05시,하차,0
99,201601,경의선,공덕,20160208,05시-06시,승차,304
100,201601,경의선,공덕,20160208,05시-06시,하차,113
101,201601,경의선,공덕,20160208,06시-07시,승차,1303
102,201601,경의선,공덕,20160208,06시-07시,하차,1265
103,201601,경의선,공덕,20160208,07시-08시,승차,3390
104,201601,경의선,공덕,20160208,07시-08시,하차,2792
105,201601,경의선,공덕,20160208,08시-09시,승차,3981
106,201601,경의선,공덕,20160208,08시-09시,하차,8634
107,201601,경의선,공덕,20160208,09시-10시,승차,2748
108,201601,경의선,공덕,20160208,09시-10시,하차,3436
109,201601,경의선,공덕,20160208,10시-11시,승차,2199
110,201601,경의선,공덕,20160208,10시-11시,하차,2174
111,201601,경의선,공덕,20160208,11시-12시,승차,2422
112,201601,경의선,공덕,20160208,11시-12시,하차,2406
113,201601,경의선,공덕,20160208,12시-13시,승차,2369
114,201601,경의선,공덕,20160208,12시-13시,하차,2097
115,201601,경의선,공덕,20160208,13시-14시,승차,2629
116,201601,경의선,공덕,20160208,13시-14시,하차,2493
117,201601,경의선,공덕,20160208,14시-15시,승차,2392
118,201601,경의선,공덕,20160208,14시-15시,하차,2435
119,201601,경의선,공덕,20160208,15시-16시,승차,2364
120,201601,경의선,공덕,20160208,15시-16시,하차,2844
121,201601,경의선,공덕,20160208,16시-17시,승차,2708
122,201601,경의선,공덕,20160208,16시-17시,하차,3174
123,201601,경의선,공덕,20160208,17시-18시,승차,3581
124,201601,경의선,공덕,20160208,17시-18시,하차,3656
125,201601,경의선,공덕,20160208,18시-19시,승차,5770
126,201601,경의선,공덕,20160208,18시-19시,하차,4719
127,201601,경의선,공덕,20160208,19시-20시,승차,3946
128,201601,경의선,공덕,20160208,19시-20시,하차,3954
129,201601,경의선,공덕,20160208,20시-21시,승차,2743
130,201601,경의선,공덕,20160208,20시-21시,하차,2396
131,201601,경의선,공덕,20160208,21시-22시,승차,2721
132,201601,경의선,공덕,20160208,21시-22시,하차,2524
133,201601,경의선,공덕,20160208,22시-23시,승차,1917
134,201601,경의선,공덕,20160208,22시-23시,하차,2366
135,201601,경의선,공덕,20160208,23시-24시,승차,1120
136,201601,경의선,공덕,20160208,23시-24시,하차,1466
137,201601,경의선,공덕,20160208,00시-01시,승차,99
138,201601,경의선,공덕,20160208,00시-01시,하차,450
139,201601,경의선,공덕,20160208,01시-02시,승차,0
140,201601,경의선,공덕,20160208,01시-02시,하차,0
141,201601,경의선,공덕,20160208,02시-03시,승차,0
142,201601,경의선,공덕,20160208,02시-03시,하차,0
143,201601,경의선,공덕,20160208,03시-04시,승차,0
144,201601,경의선,공덕,20160208,03시-04시,하차,0
145,201601,경의선,서강대,20160208,04시-05시,승차,0
146,201601,경의선,서강대,20160208,04시-05시,하차,0
147,201601,경의선,서강대,20160208,05시-06시,승차,243
148,201601,경의선,서강대,20160208,05시-06시,하차,19
149,201601,경의선,서강대,20160208,06시-07시,승차,1188
150,201601,경의선,서강대,20160208,06시-07시,하차,1363
151,201601,경의선,서강대,20160208,07시-08시,승차,2207
152,201601,경의선,서강대,20160208,07시-08시,하차,2636
153,201601,경의선,서강대,20160208,08시-09시,승차,2933
154,201601,경의선,서강대,20160208,08시-09시,하차,7724
155,201601,경의선,서강대,20160208,09시-10시,승차,2049
156,201601,경의선,서강대,20160208,09시-10시,하차,6116
157,201601,경의선,서강대,20160208,10시-11시,승차,2134
158,201601,경의선,서강대,20160208,10시-11시,하차,3012
159,201601,경의선,서강대,20160208,11시-12시,승차,2339
160,201601,경의선,서강대,20160208,11시-12시,하차,3111
161,201601,경의선,서강대,20160208,12시-13시,승차,2743
162,201601,경의선,서강대,20160208,12시-13시,하차,3519
163,201601,경의선,서강대,20160208,13시-14시,승차,3137
164,201601,경의선,서강대,20160208,13시-14시,하차,3583
165,201601,경의선,서강대,20160208,14시-15시,승차,4731
166,201601,경의선,서강대,20160208,14시-15시,하차,3531
167,201601,경의선,서강대,20160208,15시-16시,승차,3787
168,201601,경의선,서강대,20160208,15시-16시,하차,3102
169,201601,경의선,서강대,20160208,16시-17시,승차,4025
170,201601,경의선,서강대,20160208,16시-17시,하차,3221
171,201601,경의선,서강대,20160208,17시-18시,승차,5448
172,201601,경의선,서강대,20160208,17시-18시,하차,3234
173,201601,경의선,서강대,20160208,18시-19시,승차,5791
174,201601,경의선,서강대,20160208,18시-19시,하차,4284
175,201601,경의선,서강대,20160208,19시-20시,승차,4042
176,201601,경의선,서강대,20160208,19시-20시,하차,3312
177,201601,경의선,서강대,20160208,20시-21시,승차,3540
178,201601,경의선,서강대,20160208,20시-21시,하차,2077
179,201601,경의선,서강대,20160208,21시-22시,승차,3922
180,201601,경의선,서강대,20160208,21시-22시,하차,1832
181,201601,경의선,서강대,20160208,22시-23시,승차,4223
182,201601,경의선,서강대,20160208,22시-23시,하차,1594
183,201601,경의선,서강대,20160208,23시-24시,승차,1836
184,201601,경의선,서강대,20160208,23시-24시,하차,1194
185,201601,경의선,서강대,20160208,00시-01시,승차,93
186,201601,경의선,서강대,20160208,00시-01시,하차,262
187,201601,경의선,서강대,20160208,01시-02시,승차,0
188,201601,경의선,서강대,20160208,01시-02시,하차,0
189,201601,경의선,서강대,20160208,02시-03시,승차,0
190,201601,경의선,서강대,20160208,02시-03시,하차,0
191,201601,경의선,서강대,20160208,03시-04시,승차,0
192,201601,경의선,서강대,20160208,03시-04시,하차,0
193,201601,경의선,홍대입구,20160208,04시-05시,승차,4
194,201601,경의선,홍대입구,20160208,04시-05시,하차,1
195,201601,경의선,홍대입구,20160208,05시-06시,승차,403
196,201601,경의선,홍대입구,20160208,05시-06시,하차,57
197,201601,경의선,홍대입구,20160208,06시-07시,승차,627
198,201601,경의선,홍대입구,20160208,06시-07시,하차,437
199,201601,경의선,홍대입구,20160208,07시-08시,승차,1170
200,201601,경의선,홍대입구,20160208,07시-08시,하차,1632
201,201601,경의선,홍대입구,20160208,08시-09시,승차,1273
