연간소득,직급1,자격증,성별1,혼인상태1,최종학력1
4000,과장급,아니오,남,미혼,4년제졸
4000,사원급,아니오,남,NA,4년제졸
7000,과장급,아니오,남,기혼,4년제졸
7200,부장급,아니오,남,기혼,박사졸
3500,사원급,예,남,미혼,석사졸
5800,차장급,아니오,남,미혼,석사졸
4500,대리급,예,남,기혼,4년제졸
6000,차장급,예,남,기혼,석사졸
NA,사원급,아니오,남,미혼,석사졸
NA,과장급,아니오,남,기혼,석사졸
8000,부장급,아니오,남,기혼,석사졸
5500,과장급,아니오,남,기혼,4년제졸
NA,대리급,예,남,기혼,4년제졸
NA,차장급,아니오,남,기혼,4년제졸
6300,차장급,예,남,기혼,4년제졸
8000,부장급,아니오,남,기혼,4년제졸
6000,과장급,아니오,여,미혼,4년제졸
5100,과장급,아니오,남,기혼,석사졸
4000,사원급,아니오,남,미혼,4년제졸
3500,대리급,아니오,남,기혼,4년제졸
3500,사원급,아니오,여,기혼,4년제졸
8000,부장급,예,남,기혼,4년제졸
5500,과장급,예,남,기혼,4년제졸
7000,차장급,아니오,남,기혼,4년제졸
NA,차장급,아니오,남,기혼,4년제졸
NA,사원급,예,남,미혼,4년제졸
4272,대리급,아니오,여,기혼,전문대졸
NA,대리급,아니오,남,기혼,석사졸
6000,부장급,예,남,기혼,4년제졸
3600,사원급,아니오,남,기혼,4년제졸
NA,사원급,예,남,미혼,4년제졸
3400,사원급,아니오,남,미혼,4년제졸
NA,사원급,아니오,여,미혼,4년제졸
4500,대리급,예,남,기혼,4년제졸
4500,대리급,예,여,기혼,4년제졸
8000,부장급,아니오,남,기혼,4년제졸
NA,과장급,예,남,기혼,4년제졸
6500,차장급,예,남,기혼,4년제졸
6324,차장급,예,남,미혼,4년제졸
6500,차장급,예,여,기혼,4년제졸
4700,과장급,예,남,기혼,4년제졸
NA,사원급,아니오,여,미혼,4년제졸
5000,과장급,예,남,기혼,4년제졸
7200,차장급,아니오,남,기혼,4년제졸
5000,과장급,아니오,남,미혼,4년제졸
4200,대리급,예,남,기혼,4년제졸
3500,사원급,예,남,미혼,4년제졸
3800,사원급,아니오,남,미혼,4년제졸
NA,사원급,예,남,미혼,4년제졸
4300,대리급,아니오,여,기혼,4년제졸
5100,과장급,예,남,기혼,석사졸
NA,부장급,아니오,남,기혼,4년제졸
NA,과장급,아니오,여,기혼,4년제졸
NA,차장급,예,남,기혼,4년제졸
NA,사원급,예,여,기혼,4년제졸
NA,과장급,예,남,기혼,4년제졸
NA,과장급,아니오,여,미혼,4년제졸
5280,부장급,아니오,남,기혼,전문대졸
5000,차장급,아니오,남,미혼,4년제졸
4300,차장급,아니오,남,기혼,전문대졸
2800,대리급,예,남,기혼,공고졸
NA,사원급,아니오,남,미혼,전문대졸
NA,대리급,예,남,기혼,전문대졸
NA,사원급,예,여,미혼,4년제졸
2600,주임/계장,아니오,여,미혼,4년제졸
NA,대리급,예,남,미혼,전문대졸
NA,대리급,아니오,여,미혼,4년제졸
NA,주임/계장,예,남,기혼,전문대졸
NA,주임/계장,아니오,남,미혼,4년제졸
5400,부장급,예,남,기혼,4년제졸
4000,차장급,아니오,남,기혼,4년제졸
5000,부장급,예,남,기혼,석사졸
NA,사원급,아니오,여,미혼,4년제졸
NA,사원급,아니오,남,미혼,4년제졸
3000,대리급,아니오,남,미혼,4년제졸
NA,과장급,아니오,남,미혼,인문고졸
2900,사원급,아니오,여,기혼,기타 실업고졸
2000,사원급,아니오,여,미혼,전문대졸
NA,사원급,예,남,미혼,전문대졸
2000,사원급,아니오,여,기혼,인문고졸
NA,사원급,아니오,여,기혼,인문고졸
4000,차장급,아니오,남,NA,공고졸
3500,대리급,아니오,남,기혼,인문고졸
NA,주임/계장,아니오,남,기혼,기타 실업고졸
2400,사원급,아니오,여,미혼,전문대졸
2400,사원급,아니오,여,기혼,중졸이하
3100,사원급,아니오,여,이혼,중졸이하
NA,사원급,아니오,남,기혼,4년제졸
2400,사원급,아니오,여,기혼,인문고졸
2400,사원급,아니오,여,기혼,인문고졸
4000,과장급,아니오,남,기혼,공고졸
NA,과장급,예,남,미혼,전문대졸
2300,사원급,아니오,여,기혼,인문고졸
2400,사원급,아니오,여,기혼,인문고졸
2700,사원급,아니오,여,기혼,인문고졸
2400,사원급,아니오,여,기혼,인문고졸
2400,사원급,아니오,여,기혼,인문고졸
2400,사원급,아니오,여,기혼,인문고졸
7000,차장급,예,남,기혼,4년제졸
5200,주임/계장,아니오,남,기혼,4년제졸
NA,사원급,예,여,미혼,기타 실업고졸
NA,대리급,아니오,여,미혼,4년제졸
7600,부장급,아니오,남,기혼,4년제졸
NA,사원급,예,여,미혼,4년제졸
3104,대리급,아니오,남,미혼,4년제졸
NA,과장급,아니오,여,미혼,4년제졸
NA,과장급,아니오,남,미혼,4년제졸
5200,임원급,아니오,남,기혼,전문대졸
3493,대리급,예,남,미혼,전문대졸
3300,대리급,예,남,기혼,4년제졸
NA,사원급,아니오,남,미혼,4년제졸
NA,대리급,아니오,남,기혼,4년제졸
NA,사원급,아니오,남,미혼,4년제졸
4800,부장급,아니오,남,기혼,4년제졸
5000,부장급,예,남,기혼,4년제졸
NA,임원급,예,남,기혼,4년제졸
NA,임원급,예,남,기혼,4년제졸
6000,임원급,예,남,이혼,4년제졸
NA,부장급,예,남,기혼,전문대졸
NA,임원급,예,남,이혼,4년제졸
4800,임원급,아니오,남,기혼,4년제졸
NA,사원급,예,남,미혼,4년제졸
NA,사원급,예,남,미혼,4년제졸
NA,사원급,예,남,미혼,4년제졸
3600,차장급,예,남,기혼,석사졸
3000,대리급,아니오,남,미혼,4년제졸
5000,차장급,아니오,남,기혼,4년제졸
4000,과장급,예,남,기혼,4년제졸
4150,대리급,예,남,기혼,4년제졸
3500,주임/계장,아니오,남,미혼,4년제졸
3400,주임/계장,아니오,남,기혼,4년제졸
4000,차장급,아니오,남,기혼,석사졸
2500,사원급,예,남,미혼,4년제졸
2500,사원급,아니오,남,미혼,석사졸
NA,부장급,아니오,남,기혼,4년제졸
NA,사원급,예,남,미혼,4년제졸
3400,주임/계장,예,남,기혼,4년제졸
4200,과장급,아니오,남,기혼,4년제졸
4000,차장급,아니오,남,기혼,4년제졸
5500,부장급,아니오,남,기혼,4년제졸
NA,과장급,예,남,기혼,4년제졸
4700,과장급,아니오,남,기혼,4년제졸
3700,대리급,예,남,미혼,4년제졸
5200,차장급,아니오,남,기혼,4년제졸
NA,사원급,아니오,여,미혼,전문대졸
3500,대리급,아니오,남,미혼,4년제졸
NA,사원급,아니오,남,미혼,4년제졸
3100,대리급,아니오,여,기혼,전문대졸
NA,사원급,아니오,여,미혼,전문대졸
7000,임원급,아니오,남,기혼,4년제졸
7400,임원급,아니오,남,기혼,4년제졸
3200,대리급,아니오,여,기혼,전문대졸
NA,주임/계장,아니오,여,미혼,4년제졸
5300,차장급,아니오,남,기혼,4년제졸
3800,대리급,아니오,여,기혼,4년제졸
4000,대리급,아니오,남,기혼,4년제졸
5400,부장급,예,남,기혼,전문대졸
NA,부장급,아니오,남,기혼,전문대졸
NA,사원급,예,남,미혼,4년제졸
3500,대리급,아니오,여,기혼,전문대졸
5000,차장급,아니오,남,미혼,4년제졸
5300,생산직 반장급,아니오,남,기혼,공고졸
NA,사원급,아니오,남,미혼,전문대졸
NA,생산직 반장급,아니오,남,기혼,공고졸
NA,생산직 반장급,아니오,남,기혼,인문고졸
NA,생산직 반장급,아니오,남,기혼,기타 실업고졸
NA,생산직 반장급,아니오,남,기혼,공고졸
3300,사원급,아니오,남,이혼,NA
5700,부장급,예,남,기혼,공고졸
NA,사원급,예,남,미혼,4년제졸
NA,사원급,아니오,남,미혼,석사졸
NA,사원급,예,남,미혼,4년제졸
3900,사원급,아니오,남,기혼,공고졸
3800,사원급,아니오,남,기혼,기타 실업고졸
3000,사원급,아니오,남,미혼,기타 실업고졸
4700,사원급,아니오,남,기혼,공고졸
3500,사원급,아니오,남,미혼,공고졸
6000,차장급,아니오,남,기혼,전문대졸
NA,사원급,예,남,미혼,전문대졸
4200,과장급,예,남,기혼,4년제졸
NA,사원급,아니오,남,미혼,4년제졸
4800,과장급,아니오,남,미혼,4년제졸
3500,대리급,아니오,남,기혼,공고졸
2500,주임/계장,아니오,여,미혼,기타 실업고졸
NA,사원급,아니오,남,미혼,전문대졸
4800,대리급,아니오,남,기혼,전문대졸
NA,사원급,아니오,남,미혼,전문대졸
6000,과장급,아니오,남,기혼,석사졸
7000,차장급,아니오,남,기혼,전문대졸
4100,대리급,아니오,남,기혼,전문대졸
6000,차장급,아니오,남,기혼,전문대졸
5100,차장급,아니오,남,기혼,전문대졸
5100,과장급,아니오,남,기혼,전문대졸
5000,과장급,아니오,여,미혼,4년제졸
NA,사원급,아니오,여,미혼,4년제졸
NA,대리급,아니오,남,기혼,석사졸
3756,대리급,아니오,남,미혼,4년제졸
3000,과장급,아니오,여,이혼,인문고졸
2800,주임/계장,예,여,미혼,기타 실업고졸
2400,주임/계장,아니오,여,미혼,기타 실업고졸
NA,사원급,아니오,여,기혼,4년제졸
NA,사원급,아니오,남,미혼,4년제졸
2040,사원급,아니오,여,미혼,전문대졸
NA,사원급,아니오,남,미혼,기타 실업고졸
1900,사원급,아니오,여,미혼,인문고졸
1600,사원급,아니오,남,미혼,4년제졸
NA,사원급,아니오,여,미혼,4년제졸
NA,사원급,아니오,여,미혼,인문고졸
NA,사원급,아니오,남,미혼,전문대졸
NA,사원급,아니오,여,기혼,전문대졸
2400,주임/계장,아니오,남,기혼,4년제졸
2500,사원급,예,여,기혼,기타 실업고졸
NA,사원급,아니오,여,미혼,전문대졸
NA,사원급,아니오,여,기혼,기타 실업고졸
NA,사원급,아니오,여,미혼,공고졸
NA,사원급,아니오,여,미혼,기타 실업고졸
1900,사원급,아니오,남,미혼,4년제졸
NA,사원급,아니오,남,미혼,공고졸
NA,사원급,아니오,남,미혼,공고졸
2040,사원급,아니오,여,미혼,인문고졸
1800,사원급,아니오,여,미혼,기타 실업고졸
1800,주임/계장,아니오,여,기혼,전문대졸
1900,주임/계장,예,여,미혼,4년제졸
7000,부장급,아니오,남,기혼,석사졸
4427,대리급,아니오,남,기혼,4년제졸
4200,대리급,아니오,남,기혼,4년제졸
NA,차장급,예,남,기혼,4년제졸
5000,부장급,아니오,남,기혼,4년제졸
7000,주임/계장,아니오,남,기혼,인문고졸
5600,생산직 반장급,예,남,기혼,인문고졸
2640,사원급,아니오,남,이혼,전문대졸
4500,주임/계장,예,남,기혼,인문고졸
2880,사원급,아니오,남,기혼,기타 실업고졸
NA,주임/계장,아니오,남,기혼,공고졸
6500,주임/계장,아니오,남,기혼,기타 실업고졸
4300,사원급,예,남,미혼,전문대졸
NA,생산직 반장급,아니오,여,미혼,인문고졸
7200,주임/계장,아니오,남,기혼,인문고졸
